Log start on,2022-12-21 18:40:31
Feature,Gyroscope
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
21/12/2022 18:40:31.761,89,AM1V420 @1F3E5C,90162,190009000000,2.5,0.9,0.0,,SITTING
21/12/2022 18:40:31.809,137,AM1V420 @1F3E5C,90170,04000E000400,0.4,1.4,0.4,,SITTING
21/12/2022 18:40:31.811,139,AM1V420 @1F3E5C,90172,FDFF11000400,-0.3,1.7,0.4,,SITTING
21/12/2022 18:40:31.859,187,AM1V420 @1F3E5C,90175,FBFF17000700,-0.5,2.3,0.7,,SITTING
21/12/2022 18:40:31.860,188,AM1V420 @1F3E5C,90177,F4FF18000A00,-1.2,2.4,1.0,,SITTING
21/12/2022 18:40:31.908,236,AM1V420 @1F3E5C,90180,E7FF20000D00,-2.5,3.2,1.3,,SITTING
21/12/2022 18:40:31.959,287,AM1V420 @1F3E5C,90185,D2FF21001200,-4.6,3.3,1.8,,SITTING
21/12/2022 18:40:31.961,289,AM1V420 @1F3E5C,90187,CDFF20001100,-5.1,3.2,1.7,,SITTING
21/12/2022 18:40:31.962,290,AM1V420 @1F3E5C,90190,CEFF1E000C00,-5.0,3.0,1.2,,SITTING
21/12/2022 18:40:31.957,285,AM1V420 @1F3E5C,90182,DDFF22001100,-3.5,3.4,1.7,,SITTING
21/12/2022 18:40:32.004,332,AM1V420 @1F3E5C,90192,D4FF21000700,-4.4,3.3,0.7,,SITTING
21/12/2022 18:40:32.007,335,AM1V420 @1F3E5C,90197,CAFF2E000700,-5.4,4.6,0.7,,SITTING
21/12/2022 18:40:32.005,333,AM1V420 @1F3E5C,90195,D3FF27000600,-4.5,3.9,0.6,,SITTING
21/12/2022 18:40:32.053,381,AM1V420 @1F3E5C,90200,CBFF1500FFFF,-5.3,2.1,-0.1,,SITTING
21/12/2022 18:40:32.054,382,AM1V420 @1F3E5C,90202,CDFF1500FCFF,-5.1,2.1,-0.4,,SITTING
21/12/2022 18:40:32.104,432,AM1V420 @1F3E5C,90210,DCFF0400E8FF,-3.6,0.4,-2.4,,SITTING
21/12/2022 18:40:32.102,430,AM1V420 @1F3E5C,90205,BAFF1400F9FF,-7.0,2.0,-0.7,,SITTING
21/12/2022 18:40:32.103,431,AM1V420 @1F3E5C,90207,C8FFFDFFEEFF,-5.6,-0.3,-1.8,,SITTING
21/12/2022 18:40:32.152,480,AM1V420 @1F3E5C,90215,FFFFFDFFE1FF,-0.1,-0.3,-3.1,,SITTING
21/12/2022 18:40:32.152,480,AM1V420 @1F3E5C,90212,F1FF0B00E4FF,-1.5,1.1,-2.8,,SITTING
21/12/2022 18:40:32.202,530,AM1V420 @1F3E5C,90217,0400F3FFDCFF,0.4,-1.3,-3.6,,SITTING
21/12/2022 18:40:32.202,530,AM1V420 @1F3E5C,90220,1000E3FFD7FF,1.6,-2.9,-4.1,,SITTING
21/12/2022 18:40:32.250,578,AM1V420 @1F3E5C,90227,0800E4FFCDFF,0.8,-2.8,-5.1,,SITTING
21/12/2022 18:40:32.249,577,AM1V420 @1F3E5C,90222,1700D4FFD5FF,2.3,-4.4,-4.3,,SITTING
21/12/2022 18:40:32.250,578,AM1V420 @1F3E5C,90225,1200DCFFD3FF,1.8,-3.6,-4.5,,SITTING
21/12/2022 18:40:32.299,627,AM1V420 @1F3E5C,90230,F9FFDBFFC8FF,-0.7,-3.7,-5.6,,SITTING
21/12/2022 18:40:32.299,627,AM1V420 @1F3E5C,90232,E9FFD0FFC6FF,-2.3,-4.8,-5.8,,SITTING
21/12/2022 18:40:32.347,675,AM1V420 @1F3E5C,90240,D6FFA7FFB0FF,-4.2,-8.9,-8.0,,SITTING
21/12/2022 18:40:32.347,675,AM1V420 @1F3E5C,90235,D4FFD4FFC5FF,-4.4,-4.4,-5.9,,SITTING
21/12/2022 18:40:32.347,675,AM1V420 @1F3E5C,90237,DDFFB9FFBAFF,-3.5,-7.1,-7.0,,SITTING
21/12/2022 18:40:32.395,723,AM1V420 @1F3E5C,90242,D5FFB1FFA3FF,-4.3,-7.9,-9.3,,SITTING
21/12/2022 18:40:32.397,725,AM1V420 @1F3E5C,90245,DFFFC0FF9DFF,-3.3,-6.4,-9.9,,SITTING
21/12/2022 18:40:32.445,773,AM1V420 @1F3E5C,90250,DDFFD1FF9AFF,-3.5,-4.7,-10.2,,SITTING
21/12/2022 18:40:32.446,774,AM1V420 @1F3E5C,90252,D4FFE2FF9EFF,-4.4,-3.0,-9.8,,SITTING
21/12/2022 18:40:32.445,773,AM1V420 @1F3E5C,90247,E2FFC4FF9CFF,-3.0,-6.0,-10.0,,SITTING
21/12/2022 18:40:32.494,822,AM1V420 @1F3E5C,90255,C8FFF0FF9FFF,-5.6,-1.6,-9.7,,SITTING
21/12/2022 18:40:32.495,823,AM1V420 @1F3E5C,90257,B5FFF9FFA0FF,-7.5,-0.7,-9.6,,SITTING
21/12/2022 18:40:32.541,869,AM1V420 @1F3E5C,90260,A6FFF0FF9EFF,-9.0,-1.6,-9.8,,SITTING
21/12/2022 18:40:32.542,870,AM1V420 @1F3E5C,90265,7EFFF1FFA1FF,-13.0,-1.5,-9.5,,SITTING
21/12/2022 18:40:32.542,870,AM1V420 @1F3E5C,90262,92FFEBFF9FFF,-11.0,-2.1,-9.7,,SITTING
21/12/2022 18:40:32.591,919,AM1V420 @1F3E5C,90270,62FF0200B1FF,-15.8,0.2,-7.9,,SITTING
21/12/2022 18:40:32.590,918,AM1V420 @1F3E5C,90267,70FFFEFFA7FF,-14.4,-0.2,-8.9,,SITTING
21/12/2022 18:40:32.639,966,AM1V420 @1F3E5C,90272,51FF0500B9FF,-17.5,0.5,-7.1,,SITTING
21/12/2022 18:40:32.639,967,AM1V420 @1F3E5C,90275,2CFF1000BEFF,-21.2,1.6,-6.6,,SITTING
21/12/2022 18:40:32.688,1015,AM1V420 @1F3E5C,90277,F4FE1200BDFF,-26.8,1.8,-6.7,,SITTING
21/12/2022 18:40:32.688,1016,AM1V420 @1F3E5C,90280,BEFE1900B8FF,-32.2,2.5,-7.2,,SITTING
21/12/2022 18:40:32.693,1021,AM1V420 @1F3E5C,90282,7BFE1800B2FF,-38.9,2.4,-7.8,,SITTING
21/12/2022 18:40:32.735,1063,AM1V420 @1F3E5C,90285,39FE1300AFFF,-45.5,1.9,-8.1,,SITTING
21/12/2022 18:40:32.736,1064,AM1V420 @1F3E5C,90287,02FE0F00ACFF,-51.0,1.5,-8.4,,SITTING
21/12/2022 18:40:32.784,1112,AM1V420 @1F3E5C,90290,DAFD0E00A8FF,-55.0,1.4,-8.8,,SITTING
21/12/2022 18:40:32.786,1114,AM1V420 @1F3E5C,90292,BDFD07009FFF,-57.9,0.7,-9.7,,SITTING
21/12/2022 18:40:32.787,1115,AM1V420 @1F3E5C,90295,B5FD030096FF,-58.7,0.3,-10.6,,SITTING
21/12/2022 18:40:32.832,1160,AM1V420 @1F3E5C,90297,AFFD090091FF,-59.3,0.9,-11.1,,SITTING
21/12/2022 18:40:32.835,1163,AM1V420 @1F3E5C,90300,B2FDFCFF86FF,-59.0,-0.4,-12.2,,SITTING
21/12/2022 18:40:32.883,1211,AM1V420 @1F3E5C,90302,C5FD000082FF,-57.1,0.0,-12.6,,SITTING
21/12/2022 18:40:32.887,1215,AM1V420 @1F3E5C,90307,BEFDFDFF84FF,-57.8,-0.3,-12.4,,SITTING
21/12/2022 18:40:32.887,1215,AM1V420 @1F3E5C,90305,BEFD0E0088FF,-57.8,1.4,-12.0,,SITTING
21/12/2022 18:40:32.936,1264,AM1V420 @1F3E5C,90312,C0FD1D0069FF,-57.6,2.9,-15.1,,SITTING
21/12/2022 18:40:32.936,1264,AM1V420 @1F3E5C,90310,C2FD00007AFF,-57.4,0.0,-13.4,,SITTING
21/12/2022 18:40:32.980,1308,AM1V420 @1F3E5C,90315,CFFD200058FF,-56.1,3.2,-16.8,,SITTING
21/12/2022 18:40:32.988,1316,AM1V420 @1F3E5C,90317,DDFD26004CFF,-54.7,3.8,-18.0,,SITTING
21/12/2022 18:40:33.031,1359,AM1V420 @1F3E5C,90322,05FE2E003FFF,-50.7,4.6,-19.3,,SITTING
21/12/2022 18:40:33.031,1359,AM1V420 @1F3E5C,90320,F1FD2E0043FF,-52.7,4.6,-18.9,,SITTING
21/12/2022 18:40:33.033,1361,AM1V420 @1F3E5C,90325,14FE1E0045FF,-49.2,3.0,-18.7,,SITTING
21/12/2022 18:40:33.077,1405,AM1V420 @1F3E5C,90327,1BFE25004EFF,-48.5,3.7,-17.8,,SITTING
21/12/2022 18:40:33.078,1406,AM1V420 @1F3E5C,90330,2BFE3F004DFF,-46.9,6.3,-17.9,,SITTING
21/12/2022 18:40:33.127,1455,AM1V420 @1F3E5C,90332,53FE50004AFF,-42.9,8.0,-18.2,,SITTING
21/12/2022 18:40:33.127,1455,AM1V420 @1F3E5C,90335,71FE62004FFF,-39.9,9.8,-17.7,,SITTING
21/12/2022 18:40:33.133,1461,AM1V420 @1F3E5C,90337,9AFE5E0054FF,-35.8,9.4,-17.2,,SITTING
21/12/2022 18:40:33.178,1506,AM1V420 @1F3E5C,90342,0EFF5B006BFF,-24.2,9.1,-14.9,,SITTING
21/12/2022 18:40:33.177,1505,AM1V420 @1F3E5C,90340,CBFE59005EFF,-30.9,8.9,-16.2,,SITTING
21/12/2022 18:40:33.224,1552,AM1V420 @1F3E5C,90345,5CFF520077FF,-16.4,8.2,-13.7,,SITTING
21/12/2022 18:40:33.227,1555,AM1V420 @1F3E5C,90350,B8FF3A0094FF,-7.2,5.8,-10.8,,SITTING
21/12/2022 18:40:33.224,1552,AM1V420 @1F3E5C,90347,95FF430085FF,-10.7,6.7,-12.3,,SITTING
21/12/2022 18:40:33.274,1602,AM1V420 @1F3E5C,90352,CFFF3700A1FF,-4.9,5.5,-9.5,,SITTING
21/12/2022 18:40:33.274,1602,AM1V420 @1F3E5C,90355,EDFF3A00B2FF,-1.9,5.8,-7.8,,SITTING
21/12/2022 18:40:33.324,1652,AM1V420 @1F3E5C,90362,13003900E7FF,1.9,5.7,-2.5,,SITTING
21/12/2022 18:40:33.324,1652,AM1V420 @1F3E5C,90360,17004700DAFF,2.3,7.1,-3.8,,SITTING
21/12/2022 18:40:33.323,1651,AM1V420 @1F3E5C,90357,09003C00C8FF,0.9,6.0,-5.6,,SITTING
21/12/2022 18:40:33.372,1700,AM1V420 @1F3E5C,90365,08002E00F1FF,0.8,4.6,-1.5,,SITTING
21/12/2022 18:40:33.373,1701,AM1V420 @1F3E5C,90367,00002300F7FF,0.0,3.5,-0.9,,SITTING
21/12/2022 18:40:33.421,1749,AM1V420 @1F3E5C,90370,03001C00F9FF,0.3,2.8,-0.7,,SITTING
21/12/2022 18:40:33.422,1750,AM1V420 @1F3E5C,90372,17001C00F9FF,2.3,2.8,-0.7,,SITTING
21/12/2022 18:40:33.470,1798,AM1V420 @1F3E5C,90380,52003900F9FF,8.2,5.7,-0.7,,SITTING
21/12/2022 18:40:33.468,1796,AM1V420 @1F3E5C,90377,4A003300FBFF,7.4,5.1,-0.5,,SITTING
21/12/2022 18:40:33.467,1795,AM1V420 @1F3E5C,90375,31002700FAFF,4.9,3.9,-0.6,,SITTING
21/12/2022 18:40:33.518,1846,AM1V420 @1F3E5C,90382,4C003F00F5FF,7.6,6.3,-1.1,,SITTING
21/12/2022 18:40:33.518,1846,AM1V420 @1F3E5C,90385,40003400F2FF,6.4,5.2,-1.4,,SITTING
21/12/2022 18:40:33.568,1896,AM1V420 @1F3E5C,90392,640019000100,10.0,2.5,0.1,,SITTING
21/12/2022 18:40:33.565,1893,AM1V420 @1F3E5C,90387,47001B00F6FF,7.1,2.7,-1.0,,SITTING
21/12/2022 18:40:33.566,1894,AM1V420 @1F3E5C,90390,57001200FDFF,8.7,1.8,-0.3,,SITTING
21/12/2022 18:40:33.615,1943,AM1V420 @1F3E5C,90395,840006000400,13.2,0.6,0.4,,SITTING
21/12/2022 18:40:33.616,1944,AM1V420 @1F3E5C,90397,950027001500,14.9,3.9,2.1,,SITTING
21/12/2022 18:40:33.664,1992,AM1V420 @1F3E5C,90400,95001A002100,14.9,2.6,3.3,,SITTING
21/12/2022 18:40:33.665,1993,AM1V420 @1F3E5C,90402,AB0019002A00,17.1,2.5,4.2,,SITTING
21/12/2022 18:40:33.668,1996,AM1V420 @1F3E5C,90405,D5002F003900,21.3,4.7,5.7,,SITTING
21/12/2022 18:40:33.712,2040,AM1V420 @1F3E5C,90407,FD003D004B00,25.3,6.1,7.5,,SITTING
21/12/2022 18:40:33.713,2041,AM1V420 @1F3E5C,90410,08013B005C00,26.4,5.9,9.2,,SITTING
21/12/2022 18:40:33.761,2089,AM1V420 @1F3E5C,90412,0C0134006600,26.8,5.2,10.2,,SITTING
21/12/2022 18:40:33.762,2090,AM1V420 @1F3E5C,90415,1A0124007000,28.2,3.6,11.2,,SITTING
21/12/2022 18:40:33.811,2139,AM1V420 @1F3E5C,90420,0801FEFF8100,26.4,-0.2,12.9,,SITTING
21/12/2022 18:40:33.812,2140,AM1V420 @1F3E5C,90422,FE00E7FF7D00,25.4,-2.5,12.5,,SITTING
21/12/2022 18:40:33.810,2138,AM1V420 @1F3E5C,90417,170113007B00,27.9,1.9,12.3,,SITTING
21/12/2022 18:40:33.859,2187,AM1V420 @1F3E5C,90425,F500D5FF7000,24.5,-4.3,11.2,,SITTING
21/12/2022 18:40:33.859,2187,AM1V420 @1F3E5C,90427,EC00CFFF6200,23.6,-4.9,9.8,,SITTING
21/12/2022 18:40:33.908,2236,AM1V420 @1F3E5C,90430,D400D6FF5600,21.2,-4.2,8.6,,SITTING
21/12/2022 18:40:33.909,2237,AM1V420 @1F3E5C,90432,C900BEFF4800,20.1,-6.6,7.2,,SITTING
21/12/2022 18:40:33.912,2240,AM1V420 @1F3E5C,90435,BC00C4FF4100,18.8,-6.0,6.5,,SITTING
21/12/2022 18:40:33.958,2286,AM1V420 @1F3E5C,90440,B900D6FF3300,18.5,-4.2,5.1,,SITTING
21/12/2022 18:40:33.956,2284,AM1V420 @1F3E5C,90437,BD00C8FF3800,18.9,-5.6,5.6,,SITTING
21/12/2022 18:40:34.006,2334,AM1V420 @1F3E5C,90442,AC00DDFF2A00,17.2,-3.5,4.2,,SITTING
21/12/2022 18:40:34.008,2336,AM1V420 @1F3E5C,90447,7B00F3FF1700,12.3,-1.3,2.3,,SITTING
