Log start on,2023-01-07 14:08:02
Feature,Magnetometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
07/01/2023 14:08:02.135,34,AM1V420 @1F3E5C,243944,A3FFC5FD5500,-93,-571,85,,WALKING
07/01/2023 14:08:02.228,127,AM1V420 @1F3E5C,243952,A3FFC0FD5B00,-93,-576,91,,WALKING
07/01/2023 14:08:02.230,129,AM1V420 @1F3E5C,243954,9AFFC0FD5B00,-102,-576,91,,WALKING
07/01/2023 14:08:02.278,177,AM1V420 @1F3E5C,243959,A9FFBCFD5800,-87,-580,88,,WALKING
07/01/2023 14:08:02.278,177,AM1V420 @1F3E5C,243957,A2FFC6FD5D00,-94,-570,93,,WALKING
07/01/2023 14:08:02.279,178,AM1V420 @1F3E5C,243962,A5FFC5FD4F00,-91,-571,79,,WALKING
07/01/2023 14:08:02.328,227,AM1V420 @1F3E5C,243967,A0FFC2FD4C00,-96,-574,76,,WALKING
07/01/2023 14:08:02.326,225,AM1V420 @1F3E5C,243964,A3FFC6FD4F00,-93,-570,79,,WALKING
07/01/2023 14:08:02.377,276,AM1V420 @1F3E5C,243972,AFFFCBFD4F00,-81,-565,79,,WALKING
07/01/2023 14:08:02.377,276,AM1V420 @1F3E5C,243974,AFFFC8FD5500,-81,-568,85,,WALKING
07/01/2023 14:08:02.376,275,AM1V420 @1F3E5C,243969,A8FFC5FD4F00,-88,-571,79,,WALKING
07/01/2023 14:08:02.422,321,AM1V420 @1F3E5C,243977,B5FFC9FD5100,-75,-567,81,,WALKING
07/01/2023 14:08:02.424,323,AM1V420 @1F3E5C,243979,B7FFC8FD4C00,-73,-568,76,,WALKING
07/01/2023 14:08:02.472,371,AM1V420 @1F3E5C,243982,B1FFCFFD4E00,-79,-561,78,,WALKING
07/01/2023 14:08:02.472,371,AM1V420 @1F3E5C,243984,BEFFCFFD4C00,-66,-561,76,,WALKING
07/01/2023 14:08:02.474,373,AM1V420 @1F3E5C,243987,BAFFCEFD5100,-70,-562,81,,WALKING
07/01/2023 14:08:02.522,421,AM1V420 @1F3E5C,243989,B1FFD1FD4900,-79,-559,73,,WALKING
07/01/2023 14:08:02.522,421,AM1V420 @1F3E5C,243992,C4FFCBFD4E00,-60,-565,78,,WALKING
07/01/2023 14:08:02.570,469,AM1V420 @1F3E5C,243994,BBFFD7FD5100,-69,-553,81,,WALKING
07/01/2023 14:08:02.570,469,AM1V420 @1F3E5C,243997,BBFFD2FD4C00,-69,-558,76,,WALKING
07/01/2023 14:08:02.571,470,AM1V420 @1F3E5C,243999,C3FFD1FD4E00,-61,-559,78,,WALKING
07/01/2023 14:08:02.620,519,AM1V420 @1F3E5C,244002,B5FFD1FD4E00,-75,-559,78,,WALKING
07/01/2023 14:08:02.621,520,AM1V420 @1F3E5C,244004,BEFFDAFD4800,-66,-550,72,,WALKING
07/01/2023 14:08:02.669,568,AM1V420 @1F3E5C,244007,C4FFDAFD4800,-60,-550,72,,WALKING
07/01/2023 14:08:02.669,568,AM1V420 @1F3E5C,244009,BDFFCEFD5200,-67,-562,82,,WALKING
07/01/2023 14:08:02.717,616,AM1V420 @1F3E5C,244014,CAFFD1FD4E00,-54,-559,78,,WALKING
07/01/2023 14:08:02.718,617,AM1V420 @1F3E5C,244017,CCFFD8FD4B00,-52,-552,75,,WALKING
07/01/2023 14:08:02.717,616,AM1V420 @1F3E5C,244012,C9FFCFFD4500,-55,-561,69,,WALKING
07/01/2023 14:08:02.767,666,AM1V420 @1F3E5C,244019,CDFFD8FD4E00,-51,-552,78,,WALKING
07/01/2023 14:08:02.767,666,AM1V420 @1F3E5C,244022,C9FFDAFD4800,-55,-550,72,,WALKING
07/01/2023 14:08:02.818,717,AM1V420 @1F3E5C,244024,D2FFDDFD4F00,-46,-547,79,,WALKING
07/01/2023 14:08:02.819,718,AM1V420 @1F3E5C,244027,D6FFE4FD4200,-42,-540,66,,WALKING
07/01/2023 14:08:02.821,720,AM1V420 @1F3E5C,244029,CCFFE3FD4900,-52,-541,73,,WALKING
