Log start on,2023-01-08 14:09:15
Feature,Accelerometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
08/01/2023 14:09:15.979,31,AM1V420 @1F3E5C,111859,8704A2007200,1159,162,114,,WALKING
08/01/2023 14:09:16.026,78,AM1V420 @1F3E5C,111861,C60475002600,1222,117,38,,WALKING
08/01/2023 14:09:16.027,79,AM1V420 @1F3E5C,111864,F9041C002400,1273,28,36,,WALKING
08/01/2023 14:09:16.076,128,AM1V420 @1F3E5C,111866,DA0424003000,1242,36,48,,WALKING
08/01/2023 14:09:16.076,128,AM1V420 @1F3E5C,111869,59043400B4FF,1113,52,-76,,WALKING
08/01/2023 14:09:16.078,130,AM1V420 @1F3E5C,111871,BB032E009BFF,955,46,-101,,WALKING
08/01/2023 14:09:16.125,177,AM1V420 @1F3E5C,111874,2C031B00A9FF,812,27,-87,,WALKING
08/01/2023 14:09:16.126,178,AM1V420 @1F3E5C,111876,BB020A00C0FF,699,10,-64,,WALKING
08/01/2023 14:09:16.175,227,AM1V420 @1F3E5C,111881,3C022000F1FF,572,32,-15,,WALKING
08/01/2023 14:09:16.175,227,AM1V420 @1F3E5C,111879,68021300E9FF,616,19,-23,,WALKING
08/01/2023 14:09:16.223,275,AM1V420 @1F3E5C,111884,55023600E5FF,597,54,-27,,WALKING
08/01/2023 14:09:16.224,276,AM1V420 @1F3E5C,111886,96022C00B4FF,662,44,-76,,WALKING
08/01/2023 14:09:16.224,276,AM1V420 @1F3E5C,111889,DE023600A8FF,734,54,-88,,WALKING
08/01/2023 14:09:16.274,326,AM1V420 @1F3E5C,111894,7403420074FF,884,66,-140,,WALKING
08/01/2023 14:09:16.272,324,AM1V420 @1F3E5C,111891,210349007FFF,801,73,-129,,WALKING
08/01/2023 14:09:16.321,373,AM1V420 @1F3E5C,111896,B80328006CFF,952,40,-148,,WALKING
08/01/2023 14:09:16.323,375,AM1V420 @1F3E5C,111901,2904D4FF20FF,1065,-44,-224,,WALKING
08/01/2023 14:09:16.323,375,AM1V420 @1F3E5C,111899,EE03010054FF,1006,1,-172,,WALKING
08/01/2023 14:09:16.370,422,AM1V420 @1F3E5C,111904,5C04E2FF6CFF,1116,-30,-148,,WALKING
08/01/2023 14:09:16.371,423,AM1V420 @1F3E5C,111906,4D046400E1FF,1101,100,-31,,WALKING
