Log start on,2024-05-09 13:29:35
Feature,Accelerometer
Nodes,FRI2022 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
09/05/2024 13:29:35.823,17,FRI2022 @1F3E5C,56882,C403ADFF21FF,964,-83,-223,,STANDING
09/05/2024 13:29:35.920,114,FRI2022 @1F3E5C,56892,CB03B6FF1CFF,971,-74,-228,,STANDING
09/05/2024 13:29:36.017,211,FRI2022 @1F3E5C,56903,CB03B4FF1EFF,971,-76,-226,,STANDING
09/05/2024 13:29:36.019,213,FRI2022 @1F3E5C,56904,CA03BDFF21FF,970,-67,-223,,STANDING
09/05/2024 13:29:36.021,215,FRI2022 @1F3E5C,56907,CB03BCFF23FF,971,-68,-221,,STANDING
09/05/2024 13:29:36.018,212,FRI2022 @1F3E5C,56903,C803BDFF21FF,968,-67,-223,,STANDING
09/05/2024 13:29:36.068,262,FRI2022 @1F3E5C,56912,C903B8FF26FF,969,-72,-218,,STANDING
09/05/2024 13:29:36.067,261,FRI2022 @1F3E5C,56909,CB03BAFF24FF,971,-70,-220,,STANDING
09/05/2024 13:29:36.116,310,FRI2022 @1F3E5C,56917,C603BCFF23FF,966,-68,-221,,STANDING
09/05/2024 13:29:36.117,311,FRI2022 @1F3E5C,56919,D303B7FF20FF,979,-73,-224,,STANDING
09/05/2024 13:29:36.116,310,FRI2022 @1F3E5C,56914,C603B7FF25FF,966,-73,-219,,STANDING
09/05/2024 13:29:36.163,357,FRI2022 @1F3E5C,56922,CA03BBFF24FF,970,-69,-220,,STANDING
09/05/2024 13:29:36.170,364,FRI2022 @1F3E5C,56924,C803BAFF25FF,968,-70,-219,,STANDING
09/05/2024 13:29:36.217,411,FRI2022 @1F3E5C,56927,CA03B6FF25FF,970,-74,-219,,STANDING
09/05/2024 13:29:36.218,412,FRI2022 @1F3E5C,56929,C703B3FF2FFF,967,-77,-209,,STANDING
09/05/2024 13:29:36.218,412,FRI2022 @1F3E5C,56932,C503BEFF17FF,965,-66,-233,,STANDING
09/05/2024 13:29:36.261,455,FRI2022 @1F3E5C,56934,D703BEFF13FF,983,-66,-237,,STANDING
09/05/2024 13:29:36.262,456,FRI2022 @1F3E5C,56937,CF03BAFF22FF,975,-70,-222,,STANDING
09/05/2024 13:29:36.310,504,FRI2022 @1F3E5C,56939,C803B2FF31FF,968,-78,-207,,STANDING
09/05/2024 13:29:36.311,505,FRI2022 @1F3E5C,56942,C503ADFF2AFF,965,-83,-214,,STANDING
09/05/2024 13:29:36.360,554,FRI2022 @1F3E5C,56944,C403AFFF1BFF,964,-81,-229,,STANDING
09/05/2024 13:29:36.361,555,FRI2022 @1F3E5C,56949,C903B4FF1CFF,969,-76,-228,,STANDING
09/05/2024 13:29:36.361,555,FRI2022 @1F3E5C,56947,C503B4FF19FF,965,-76,-231,,STANDING
09/05/2024 13:29:36.409,603,FRI2022 @1F3E5C,56954,D303C0FF1CFF,979,-64,-228,,STANDING
09/05/2024 13:29:36.409,603,FRI2022 @1F3E5C,56952,CA03BAFF1CFF,970,-70,-228,,STANDING
09/05/2024 13:29:36.456,650,FRI2022 @1F3E5C,56957,CE03C3FF23FF,974,-61,-221,,STANDING
09/05/2024 13:29:36.462,656,FRI2022 @1F3E5C,56962,C703B8FF18FF,967,-72,-232,,STANDING
09/05/2024 13:29:36.461,655,FRI2022 @1F3E5C,56959,CD03BFFF1EFF,973,-65,-226,,STANDING
09/05/2024 13:29:36.505,699,FRI2022 @1F3E5C,56964,C903B2FF18FF,969,-78,-232,,STANDING
09/05/2024 13:29:36.506,700,FRI2022 @1F3E5C,56967,C703B4FF1EFF,967,-76,-226,,STANDING
09/05/2024 13:29:36.555,749,FRI2022 @1F3E5C,56972,C803BAFF1AFF,968,-70,-230,,STANDING
09/05/2024 13:29:36.555,749,FRI2022 @1F3E5C,56969,C603B5FF1CFF,966,-75,-228,,STANDING
09/05/2024 13:29:36.556,750,FRI2022 @1F3E5C,56974,C703BCFF19FF,967,-68,-231,,STANDING
09/05/2024 13:29:36.603,797,FRI2022 @1F3E5C,56979,C403B8FF1AFF,964,-72,-230,,STANDING
09/05/2024 13:29:36.603,797,FRI2022 @1F3E5C,56977,C603BCFF19FF,966,-68,-231,,STANDING
09/05/2024 13:29:36.651,845,FRI2022 @1F3E5C,56982,C503B9FF19FF,965,-71,-231,,STANDING
09/05/2024 13:29:36.653,847,FRI2022 @1F3E5C,56987,C503B8FF19FF,965,-72,-231,,STANDING
09/05/2024 13:29:36.651,845,FRI2022 @1F3E5C,56984,C503B8FF19FF,965,-72,-231,,STANDING
09/05/2024 13:29:36.701,895,FRI2022 @1F3E5C,56992,C703B8FF1AFF,967,-72,-230,,STANDING
09/05/2024 13:29:36.700,894,FRI2022 @1F3E5C,56989,C703B8FF19FF,967,-72,-231,,STANDING
09/05/2024 13:29:36.748,942,FRI2022 @1F3E5C,56994,C603B6FF1AFF,966,-74,-230,,STANDING
09/05/2024 13:29:36.750,944,FRI2022 @1F3E5C,56997,C603B8FF17FF,966,-72,-233,,STANDING
09/05/2024 13:29:36.798,992,FRI2022 @1F3E5C,56999,C603B7FF14FF,966,-73,-236,,STANDING
09/05/2024 13:29:36.799,993,FRI2022 @1F3E5C,57002,C503B8FF16FF,965,-72,-234,,STANDING
09/05/2024 13:29:36.799,993,FRI2022 @1F3E5C,57004,C803B8FF14FF,968,-72,-236,,STANDING
09/05/2024 13:29:36.848,1042,FRI2022 @1F3E5C,57007,CA03B2FF19FF,970,-78,-231,,STANDING
09/05/2024 13:29:36.848,1042,FRI2022 @1F3E5C,57009,C103BEFF1AFF,961,-66,-230,,STANDING
09/05/2024 13:29:36.900,1093,FRI2022 @1F3E5C,57012,C403BCFF11FF,964,-68,-239,,STANDING
09/05/2024 13:29:36.902,1096,FRI2022 @1F3E5C,57017,C203B3FF19FF,962,-77,-231,,STANDING
09/05/2024 13:29:36.901,1095,FRI2022 @1F3E5C,57014,CD03B0FF19FF,973,-80,-231,,STANDING
09/05/2024 13:29:36.945,1139,FRI2022 @1F3E5C,57019,C603BBFF03FF,966,-69,-253,,STANDING
09/05/2024 13:29:36.946,1140,FRI2022 @1F3E5C,57022,C903B9FF0BFF,969,-71,-245,,STANDING
09/05/2024 13:29:37.042,1236,FRI2022 @1F3E5C,57033,C203B8FF0DFF,962,-72,-243,,STANDING
09/05/2024 13:29:37.042,1236,FRI2022 @1F3E5C,57033,C303BCFF16FF,963,-68,-234,,STANDING
09/05/2024 13:29:37.043,1237,FRI2022 @1F3E5C,57034,C403B9FF0FFF,964,-71,-241,,STANDING
09/05/2024 13:29:37.093,1287,FRI2022 @1F3E5C,57039,C503B9FF09FF,965,-71,-247,,STANDING
