Log start on,2024-05-09 13:29:35
Feature,Gyroscope
Nodes,FRI2022 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
09/05/2024 13:29:35.880,74,FRI2022 @1F3E5C,56889,F6FF07000000,-1.0,0.7,0.0,,STANDING
09/05/2024 13:29:36.018,212,FRI2022 @1F3E5C,56903,F0FF0C00FCFF,-1.6,1.2,-0.4,,STANDING
09/05/2024 13:29:36.017,211,FRI2022 @1F3E5C,56903,F0FF0B000000,-1.6,1.1,0.0,,STANDING
09/05/2024 13:29:36.021,215,FRI2022 @1F3E5C,56904,F2FF0C00FCFF,-1.4,1.2,-0.4,,STANDING
09/05/2024 13:29:36.022,216,FRI2022 @1F3E5C,56907,F7FF0B00FBFF,-0.9,1.1,-0.5,,STANDING
09/05/2024 13:29:36.068,262,FRI2022 @1F3E5C,56912,0E000800F4FF,1.4,0.8,-1.2,,STANDING
09/05/2024 13:29:36.068,262,FRI2022 @1F3E5C,56909,00000900F6FF,0.0,0.9,-1.0,,STANDING
09/05/2024 13:29:36.117,311,FRI2022 @1F3E5C,56919,13000500F6FF,1.9,0.5,-1.0,,STANDING
09/05/2024 13:29:36.116,310,FRI2022 @1F3E5C,56914,19000900F5FF,2.5,0.9,-1.1,,STANDING
09/05/2024 13:29:36.117,311,FRI2022 @1F3E5C,56917,18001200FBFF,2.4,1.8,-0.5,,STANDING
09/05/2024 13:29:36.163,357,FRI2022 @1F3E5C,56922,2500FBFFF7FF,3.7,-0.5,-0.9,,STANDING
09/05/2024 13:29:36.170,364,FRI2022 @1F3E5C,56924,20000200FEFF,3.2,0.2,-0.2,,STANDING
09/05/2024 13:29:36.218,412,FRI2022 @1F3E5C,56929,1000F7FFF5FF,1.6,-0.9,-1.1,,STANDING
09/05/2024 13:29:36.217,411,FRI2022 @1F3E5C,56927,13000700FFFF,1.9,0.7,-0.1,,STANDING
09/05/2024 13:29:36.218,412,FRI2022 @1F3E5C,56932,17000B00F7FF,2.3,1.1,-0.9,,STANDING
09/05/2024 13:29:36.261,455,FRI2022 @1F3E5C,56934,15000200F9FF,2.1,0.2,-0.7,,STANDING
09/05/2024 13:29:36.263,457,FRI2022 @1F3E5C,56937,1A00EBFFF9FF,2.6,-2.1,-0.7,,STANDING
09/05/2024 13:29:36.311,505,FRI2022 @1F3E5C,56939,1600F9FFF9FF,2.2,-0.7,-0.7,,STANDING
09/05/2024 13:29:36.311,505,FRI2022 @1F3E5C,56942,0E000300FAFF,1.4,0.3,-0.6,,STANDING
09/05/2024 13:29:36.361,555,FRI2022 @1F3E5C,56947,0700FAFF0000,0.7,-0.6,0.0,,STANDING
09/05/2024 13:29:36.360,554,FRI2022 @1F3E5C,56944,0F000100FCFF,1.5,0.1,-0.4,,STANDING
09/05/2024 13:29:36.361,555,FRI2022 @1F3E5C,56949,0000F6FF0400,0.0,-1.0,0.4,,STANDING
09/05/2024 13:29:36.411,605,FRI2022 @1F3E5C,56954,F7FFF7FF0700,-0.9,-0.9,0.7,,STANDING
09/05/2024 13:29:36.409,603,FRI2022 @1F3E5C,56952,FCFFEFFF0900,-0.4,-1.7,0.9,,STANDING
09/05/2024 13:29:36.456,650,FRI2022 @1F3E5C,56957,FEFFF0FF0400,-0.2,-1.6,0.4,,STANDING
09/05/2024 13:29:36.462,656,FRI2022 @1F3E5C,56962,FDFF01000400,-0.3,0.1,0.4,,STANDING
09/05/2024 13:29:36.461,655,FRI2022 @1F3E5C,56959,FFFFFAFF0300,-0.1,-0.6,0.3,,STANDING
09/05/2024 13:29:36.505,699,FRI2022 @1F3E5C,56964,F1FFFAFF0400,-1.5,-0.6,0.4,,STANDING
09/05/2024 13:29:36.506,700,FRI2022 @1F3E5C,56967,F0FFF7FF0200,-1.6,-0.9,0.2,,STANDING
09/05/2024 13:29:36.556,750,FRI2022 @1F3E5C,56974,FBFFFDFF0700,-0.5,-0.3,0.7,,STANDING
09/05/2024 13:29:36.555,749,FRI2022 @1F3E5C,56972,F7FFF9FF0700,-0.9,-0.7,0.7,,STANDING
09/05/2024 13:29:36.555,749,FRI2022 @1F3E5C,56969,F2FFF9FF0400,-1.4,-0.7,0.4,,STANDING
09/05/2024 13:29:36.603,797,FRI2022 @1F3E5C,56977,FCFF00000400,-0.4,0.0,0.4,,STANDING
09/05/2024 13:29:36.603,797,FRI2022 @1F3E5C,56979,F9FFFEFF0400,-0.7,-0.2,0.4,,STANDING
09/05/2024 13:29:36.651,845,FRI2022 @1F3E5C,56984,FAFF00000400,-0.6,0.0,0.4,,STANDING
09/05/2024 13:29:36.651,845,FRI2022 @1F3E5C,56982,F8FFFEFF0400,-0.8,-0.2,0.4,,STANDING
09/05/2024 13:29:36.653,847,FRI2022 @1F3E5C,56987,F9FF04000500,-0.7,0.4,0.5,,STANDING
09/05/2024 13:29:36.701,895,FRI2022 @1F3E5C,56992,F9FF09000200,-0.7,0.9,0.2,,STANDING
09/05/2024 13:29:36.700,894,FRI2022 @1F3E5C,56989,F9FF09000400,-0.7,0.9,0.4,,STANDING
09/05/2024 13:29:36.748,942,FRI2022 @1F3E5C,56994,F7FF06000100,-0.9,0.6,0.1,,STANDING
09/05/2024 13:29:36.750,944,FRI2022 @1F3E5C,56997,F6FF07000100,-1.0,0.7,0.1,,STANDING
09/05/2024 13:29:36.799,993,FRI2022 @1F3E5C,57004,F4FF0C000300,-1.2,1.2,0.3,,STANDING
09/05/2024 13:29:36.798,992,FRI2022 @1F3E5C,56999,F5FF05000100,-1.1,0.5,0.1,,STANDING
09/05/2024 13:29:36.799,993,FRI2022 @1F3E5C,57002,F9FF04000200,-0.7,0.4,0.2,,STANDING
09/05/2024 13:29:36.848,1042,FRI2022 @1F3E5C,57007,FCFFF0FFFEFF,-0.4,-1.6,-0.2,,STANDING
09/05/2024 13:29:36.848,1042,FRI2022 @1F3E5C,57009,0000FEFF0100,0.0,-0.2,0.1,,STANDING
09/05/2024 13:29:36.900,1094,FRI2022 @1F3E5C,57012,F2FF0D000600,-1.4,1.3,0.6,,STANDING
09/05/2024 13:29:36.903,1097,FRI2022 @1F3E5C,57017,0000EEFFFCFF,0.0,-1.8,-0.4,,STANDING
09/05/2024 13:29:36.901,1095,FRI2022 @1F3E5C,57014,EFFFF6FF0000,-1.7,-1.0,0.0,,STANDING
09/05/2024 13:29:36.945,1139,FRI2022 @1F3E5C,57019,010005000000,0.1,0.5,0.0,,STANDING
09/05/2024 13:29:36.946,1140,FRI2022 @1F3E5C,57022,F9FFF0FF0000,-0.7,-1.6,0.0,,STANDING
09/05/2024 13:29:37.042,1236,FRI2022 @1F3E5C,57033,F7FFF2FFFEFF,-0.9,-1.4,-0.2,,STANDING
09/05/2024 13:29:37.043,1237,FRI2022 @1F3E5C,57033,FDFF0B00FDFF,-0.3,1.1,-0.3,,STANDING
09/05/2024 13:29:37.048,1242,FRI2022 @1F3E5C,57034,FEFF0B00FEFF,-0.2,1.1,-0.2,,STANDING
09/05/2024 13:29:37.094,1288,FRI2022 @1F3E5C,57039,F8FF0F000000,-0.8,1.5,0.0,,STANDING
09/05/2024 13:29:37.092,1286,FRI2022 @1F3E5C,57037,FCFF0800FFFF,-0.4,0.8,-0.1,,STANDING
09/05/2024 13:29:37.142,1336,FRI2022 @1F3E5C,57042,F5FF0200FCFF,-1.1,0.2,-0.4,,STANDING
09/05/2024 13:29:37.145,1339,FRI2022 @1F3E5C,57044,FCFFFFFFFDFF,-0.4,-0.1,-0.3,,STANDING
09/05/2024 13:29:37.148,1342,FRI2022 @1F3E5C,57047,FDFF0E00FCFF,-0.3,1.4,-0.4,,STANDING
09/05/2024 13:29:37.189,1383,FRI2022 @1F3E5C,57049,FDFF1100FCFF,-0.3,1.7,-0.4,,STANDING
09/05/2024 13:29:37.189,1384,FRI2022 @1F3E5C,57052,FCFF0E00FEFF,-0.4,1.4,-0.2,,STANDING
09/05/2024 13:29:37.237,1430,FRI2022 @1F3E5C,57054,FBFF1A00FEFF,-0.5,2.6,-0.2,,STANDING
09/05/2024 13:29:37.239,1433,FRI2022 @1F3E5C,57057,F7FF2B00FCFF,-0.9,4.3,-0.4,,STANDING
09/05/2024 13:29:37.240,1434,FRI2022 @1F3E5C,57059,F5FF2A00FAFF,-1.1,4.2,-0.6,,STANDING
09/05/2024 13:29:37.284,1478,FRI2022 @1F3E5C,57062,F6FF1C00F9FF,-1.0,2.8,-0.7,,STANDING
09/05/2024 13:29:37.287,1481,FRI2022 @1F3E5C,57064,F7FF0E00FBFF,-0.9,1.4,-0.5,,STANDING
09/05/2024 13:29:37.334,1528,FRI2022 @1F3E5C,57067,FCFF0900FEFF,-0.4,0.9,-0.2,,STANDING
09/05/2024 13:29:37.335,1529,FRI2022 @1F3E5C,57069,FDFF07000000,-0.3,0.7,0.0,,STANDING
09/05/2024 13:29:37.338,1532,FRI2022 @1F3E5C,57072,F7FF07000200,-0.9,0.7,0.2,,STANDING
09/05/2024 13:29:37.387,1581,FRI2022 @1F3E5C,57077,EDFF06000400,-1.9,0.6,0.4,,STANDING
09/05/2024 13:29:37.385,1579,FRI2022 @1F3E5C,57074,F1FF07000300,-1.5,0.7,0.3,,STANDING
09/05/2024 13:29:37.432,1626,FRI2022 @1F3E5C,57079,EFFF04000600,-1.7,0.4,0.6,,STANDING
09/05/2024 13:29:37.435,1629,FRI2022 @1F3E5C,57082,F0FF02000700,-1.6,0.2,0.7,,STANDING
09/05/2024 13:29:37.436,1630,FRI2022 @1F3E5C,57084,F0FF05000700,-1.6,0.5,0.7,,STANDING
09/05/2024 13:29:37.482,1676,FRI2022 @1F3E5C,57087,F0FF07000700,-1.6,0.7,0.7,,STANDING
09/05/2024 13:29:37.482,1676,FRI2022 @1F3E5C,57089,EEFF0A000900,-1.8,1.0,0.9,,STANDING
09/05/2024 13:29:37.531,1725,FRI2022 @1F3E5C,57092,E4FF0C000700,-2.8,1.2,0.7,,STANDING
09/05/2024 13:29:37.532,1726,FRI2022 @1F3E5C,57094,F7FFF2FF0200,-0.9,-1.4,0.2,,STANDING
09/05/2024 13:29:37.578,1772,FRI2022 @1F3E5C,57097,F0FF07000900,-1.6,0.7,0.9,,STANDING
09/05/2024 13:29:37.581,1775,FRI2022 @1F3E5C,57099,E5FF0E000B00,-2.7,1.4,1.1,,STANDING
09/05/2024 13:29:37.581,1776,FRI2022 @1F3E5C,57102,EDFFE9FFFFFF,-1.9,-2.3,-0.1,,STANDING
09/05/2024 13:29:37.626,1820,FRI2022 @1F3E5C,57104,FCFFF0FFFEFF,-0.4,-1.6,-0.2,,STANDING
09/05/2024 13:29:37.630,1824,FRI2022 @1F3E5C,57107,FBFFFDFF0000,-0.5,-0.3,0.0,,STANDING
09/05/2024 13:29:37.678,1872,FRI2022 @1F3E5C,57112,F5FFF8FFFCFF,-1.1,-0.8,-0.4,,STANDING
09/05/2024 13:29:37.678,1872,FRI2022 @1F3E5C,57114,F5FF0200FCFF,-1.1,0.2,-0.4,,STANDING
09/05/2024 13:29:37.677,1871,FRI2022 @1F3E5C,57109,F8FFEEFFFFFF,-0.8,-1.8,-0.1,,STANDING
09/05/2024 13:29:37.726,1920,FRI2022 @1F3E5C,57117,FEFF0400FCFF,-0.2,0.4,-0.4,,STANDING
